pdbid,-logKd/Ki,Kd/Ki
4xnw,7.74,Ki=18.4nM
1rhq,7.75,IC50=17.7nM
2jkm,7.75,IC50=17.76nM
3vqs,7.75,IC50=0.0178uM
4l23,7.75,IC50=17.9nM
4x50,7.75,Kd=17.7nM
1hdt,7.76,Ki=17.2nM
2ccc,7.76,Kd=17.57nM
2zpk,7.76,Kd=17.5nM
3q3b,7.76,IC50=17.2nM
4c38,7.76,IC50=17.4nM
4hwp,7.76,Ki=17.2nM
4z2b,7.76,Ki=17.5nM
1axs,7.77,Kd=17nM
1ek1,7.77,Ki=17nM
1my2,7.77,Ki=17nM
1pi5,7.77,Ki=17nM
1wss,7.77,IC50=17nM
1xh9,7.77,Kd=17nM
2bdy,7.77,IC50=17nM
2fx9,7.77,Kd=17nM
2g70,7.77,Ki=17nM
2jh6,7.77,Ki=17nM
2jsd,7.77,Kd=17nM
2lzg,7.77,Kd=16.9nM
2osc,7.77,IC50=17nM
2pj7,7.77,IC50=17nM
2qe2,7.77,IC50=17nM
2qm9,7.77,Kd=17nM
2vv9,7.77,IC50=0.017uM
3chs,7.77,IC50=17nM
3cyw,7.77,Ki=17nM
3d7g,7.77,IC50=17nM
3dsz,7.77,Kd=17.1nM
3et7,7.77,IC50=17nM
3gm0,7.77,Kd=17nM
3hy9,7.77,IC50=17nM
3io7,7.77,Ki=0.017uM
3iop,7.77,IC50=17nM
3k5c,7.77,IC50=17nM
3kwb,7.77,IC50=17nM
3mi2,7.77,Ki=17nM
3qpn,7.77,IC50=17nM
3r22,7.77,IC50=17nM
3rcd,7.77,IC50=17nM
3rq7,7.77,IC50=17nM
3ske,7.77,IC50=17nM
3tzm,7.77,Ki=17nM
3uvq,7.77,Kd=17nM
3uw4,7.77,Ki=0.017uM
4alu,7.77,IC50=17nM
4cpx,7.77,Ki=17nM
4dh6,7.77,IC50=16.8nM
4g1f,7.77,IC50=17nM
4gzt,7.77,Ki=17.0nM
4hvg,7.77,IC50=17.0nM
4jyv,7.77,Ki=17nM
4ke0,7.77,IC50=17nM
4lov,7.77,Kd=17.1nM
4m3q,7.77,IC50=17nM
4md6,7.77,IC50=17nM
4nga,7.77,Ki=17nM
4obp,7.77,IC50=17nM
4oho,7.77,IC50=17nM
4pge,7.77,Kd=17nM
4rj8,7.77,Ki=17nM
4w9o,7.77,Ki=17nM
4wsy,7.77,IC50=0.017uM
4y83,7.77,IC50=17nM
5apr,7.77,Ki=17nM
5cbm,7.77,Ki=17nM
5csz,7.77,Kd=17nM
6apr,7.77,Ki<=17nM
2bu5,7.78,IC50=0.0165uM
2q6c,7.78,IC50=16.7nM
4jln,7.78,IC50=16.7nM
4kni,7.78,Kd=16.7nM
4knn,7.78,Kd=16.7nM
4q1d,7.78,Ki=16.6nM
1j19,7.79,Kd=16.4nM
1ywh,7.79,Kd=16.4nM
2zwz,7.79,Kd=16.3nM
1al7,7.8,Ki=16nM
1cwc,7.8,IC50=16.0nM
1f28,7.8,Ki=16nM
1g49,7.8,IC50=16nM
1q6j,7.8,IC50=0.016uM
1v48,7.8,Ki=16nM
1x8t,7.8,Ki=16nM
2chz,7.8,IC50=16nM
2ea2,7.8,IC50=16nM
2hd6,7.8,Ki=16nM
2i19,7.8,Ki=16nM
2oph,7.8,IC50=16nM
2ra0,7.8,Ki=15.9nM
2wl0,7.8,Ki=16nM
3agl,7.8,Ki=16nM
3czv,7.8,Ki=16nM
3g5v,7.8,Kd=16nM
3g8o,7.8,IC50=16nM
3hq5,7.8,IC50=16nM
3kba,7.8,IC50=16nM
3oy1,7.8,IC50=16nM
3phe,7.8,IC50=16nM
3rwj,7.8,IC50=16nM
3s3i,7.8,IC50=16nM
3t07,7.8,IC50=16nM
3unz,7.8,Kd=16nM
4a9r,7.8,IC50=16nM
4aa5,7.8,IC50=16nM
4c1m,7.8,Kd=15.8nM
4fny,7.8,IC50=0.016uM
4fnz,7.8,IC50=0.016uM
4glx,7.8,Kd=16nM
4hvs,7.8,IC50=0.016uM
4ijp,7.8,IC50=0.016uM
4jzr,7.8,IC50=15.8nM
4n6z,7.8,Ki=16nM
4p44,7.8,IC50=16nM
4p45,7.8,IC50=16nM
4pg9,7.8,Kd=16nM
4qem,7.8,Kd=16nM
4qjw,7.8,Kd=16nM
4qxt,7.8,Kd=16nM
4r93,7.8,Ki=16nM
4rj4,7.8,Ki=16nM
4uiv,7.8,IC50=15.8nM
4uxq,7.8,Kd=16.0nM
4w9p,7.8,Ki=16nM
4x6j,7.8,Ki=16nM
5cte,7.8,IC50=0.016uM
5cy3,7.8,IC50=16nM
2yem,7.81,IC50=15.5nM
4gr3,7.81,Ki=15.5nM
4o4y,7.81,Kd=15.5nM
1b6h,7.82,Kd=0.015uM
1eat,7.82,Ki=15nM
1gfw,7.82,Ki=15nM
1nde,7.82,Ki=15nM
1nf8,7.82,Kd=0.015uM
1njs,7.82,Ki=15nM
1nvs,7.82,Ki=15nM
1q3d,7.82,IC50=15nM
1sqq,7.82,Kd=15nM
1yly,7.82,Ki=0.015uM
2a4r,7.82,Ki=15nM
2b8l,7.82,IC50=15nM
2bdl,7.82,IC50=15nM
2cf9,7.82,Ki=0.015uM
2euf,7.82,IC50=15nM
2f9v,7.82,Ki=15nM
2j34,7.82,Ki=15nM
2jg0,7.82,Kd=15nM
2o4n,7.82,Kd=15nM
2o5k,7.82,IC50=15nM
2o7n,7.82,IC50=15nM
2oc0,7.82,Ki=15nM
2pj5,7.82,IC50=15nM
2ptz,7.82,Ki=15nM
2pu0,7.82,Ki=15nM
2x6e,7.82,IC50=15nM
2xbx,7.82,Ki=15nM
2xfi,7.82,IC50=15nM
2xjg,7.82,Kd=15nM
3bi6,7.82,IC50=15nM
3dz6,7.82,IC50=15nM
3gcp,7.82,Kd=15nM
3koo,7.82,IC50=15nM
3l13,7.82,IC50=15nM
3mj1,7.82,Kd=15nM
3mj2,7.82,IC50=15nM
3n2p,7.82,Ki=15nM
3n51,7.82,IC50=15nM
3ncz,7.82,IC50=15nM
3odi,7.82,Kd=15nM
3tpp,7.82,IC50=15nM
3uo6,7.82,Kd=15nM
3uph,7.82,IC50=15nM
3vx3,7.82,Kd=15nM
3we4,7.82,IC50=15nM
4a4l,7.82,IC50=0.015uM
4b0g,7.82,IC50=15nM
4bfp,7.82,IC50=15nM
4bgg,7.82,IC50=15nM
4k0y,7.82,Ki=15nM
4n9e,7.82,IC50=0.015uM
4no9,7.82,IC50=15nM
4o13,7.82,IC50=15nM
4pp3,7.82,Kd=15nM
4qpd,7.82,Kd=15nM
4wuy,7.82,IC50<15nM
4x9r,7.82,IC50=0.015uM
4y5h,7.82,IC50=15nM
4z1q,7.82,IC50=0.015uM
4zsa,7.82,IC50=15nM
5ake,7.82,IC50=0.015uM
5bq0,7.82,IC50=15nM
1m5f,7.83,IC50=14.8nM
3mz3,7.83,Ki=14.8nM
3ole,7.83,Ki=14.7nM
4gr8,7.83,Ki=14.7nM
3cd7,7.84,Kd=14.3nM
3ibl,7.84,Ki=14.6nM
3n2u,7.84,Ki=14.3nM
3olg,7.84,Ki=14.3nM
3ttn,7.84,Kd=14.3nM
3twj,7.84,IC50=14.5nM
4gzp,7.84,Ki=14.3nM
1a94,7.85,Ki=14nM
1b8y,7.85,Ki=14nM
1cny,7.85,Kd=14nM
1jwt,7.85,Ki=14nM
1laf,7.85,Kd=14nM
1lbf,7.85,Kd=0.014uM
1lst,7.85,Kd=14nM
1o2t,7.85,Ki=0.014uM
1w12,7.85,Ki=14nM
1x78,7.85,IC50=14.0nM
2fle,7.85,Ki=14nM
2gv7,7.85,Ki=14nM
2oz7,7.85,Ki=14nM
2x8e,7.85,IC50=14nM
2xcs,7.85,IC50=14nM
3bel,7.85,IC50=0.014uM
3bi0,7.85,IC50=14nM
3c84,7.85,Kd=14nM
3cib,7.85,IC50=14nM
3d7d,7.85,IC50=14nM
3dd8,7.85,Ki=14nM
3e51,7.85,IC50=14nM
3efk,7.85,Ki=14nM
3eta,7.85,IC50=14nM
3h9k,7.85,Ki=14nM
3i5n,7.85,IC50=14nM
3ika,7.85,IC50=14nM
3ooz,7.85,IC50=14nM
3qti,7.85,IC50=14nM
3sut,7.85,Ki=14nM
3tl5,7.85,IC50=14nM
3ua8,7.85,IC50=14nM
3uw5,7.85,Ki=0.014uM
3uyt,7.85,IC50~14nM
3vw6,7.85,IC50=14nM
4avu,7.85,IC50=14nM
4bjc,7.85,IC50=14nM
4dfw,7.85,IC50=14nM
4fs3,7.85,IC50=14nM
4gk4,7.85,IC50=14nM
4i0r,7.85,IC50=14nM
4ieh,7.85,Kd=14nM
4kbc,7.85,IC50=14.2nM
4mc1,7.85,Ki=14nM
4o44,7.85,Ki=14nM
4p4b,7.85,IC50=14nM
4pg3,7.85,Kd=14nM
4qlv,7.85,Kd=14nM
4r76,7.85,Ki=14nM
4r95,7.85,Ki=14nM
4rak,7.85,Ki=14nM
4res,7.85,Kd=14nM
4u6r,7.85,IC50=14nM
4x5r,7.85,Kd=14nM
4x7q,7.85,IC50=14nM
4x9v,7.85,IC50=0.014uM
5dgz,7.85,Ki=14nM
1fq6,7.86,Ki=13.7nM
2ydv,7.86,Ki=13.8nM
2zas,7.86,IC50=13.9nM
3hwx,7.86,Kd=13.9nM
4zl4,7.86,Kd=13.8nM
2z6w,7.87,Kd=13.4nM
3ccw,7.87,Kd=13.5nM
4rvk,7.87,IC50=13.5nM
2clv,7.88,Kd=13.2nM
3sie,7.88,IC50=13.3nM
4ele,7.88,Ki=13.2nM
5ap6,7.88,IC50=13.3nM
1au2,7.89,Ki=13nM
1bm6,7.89,Ki=13nM
1cwb,7.89,Ki=13nM
1erq,7.89,Ki=13nM
1fzo,7.89,Kd=13nM
1gj7,7.89,Ki=0.013uM
1h2t,7.89,Kd=13nM
1h2u,7.89,Kd=13nM
1klg,7.89,IC50=13nM
1kvo,7.89,IC50=0.013uM
1npz,7.89,Ki=13nM
1q6m,7.89,IC50=0.013uM
1v79,7.89,Ki=13nM
1vjb,7.89,IC50=0.013uM
1waw,7.89,IC50=0.013uM
1wdy,7.89,IC50=13nM
1x7a,7.89,Ki=13nM
1ywr,7.89,IC50=13nM
2ajl,7.89,Ki=0.013uM
2f3k,7.89,IC50=13nM
2g2r,7.89,Kd=13nM
2j50,7.89,IC50=13nM
2onc,7.89,IC50=13nM
2ovz,7.89,Ki=13nM
2pj4,7.89,IC50=13nM
2qd9,7.89,IC50=13nM
2vj6,7.89,IC50=13nM
2wf4,7.89,IC50=13nM
2xfj,7.89,IC50=13nM
2xxy,7.89,Kd=12.9nM
2ylc,7.89,Kd=13nM
2ym8,7.89,IC50=13nM
2zn7,7.89,Ki=13nM
3a29,7.89,IC50=13nM
3c56,7.89,Ki=0.013uM
3e3u,7.89,IC50=13nM
3f8s,7.89,IC50=13nM
3gxz,7.89,Kd=13nM
3h59,7.89,IC50=0.013uM
3hig,7.89,Ki=13nM
3i81,7.89,IC50=13nM
3kr5,7.89,Ki=13nM
3mg6,7.89,Ki=13nM
3mg7,7.89,IC50=13nM
3mvl,7.89,IC50=13nM
3n75,7.89,Kd=12.8nM
3rz5,7.89,Kd=13nM
3uoh,7.89,Kd=13nM
3uzp,7.89,IC50=13nM
3v04,7.89,IC50=13nM
3vtc,7.89,IC50=13nM
3wax,7.89,IC50=13nM
4axm,7.89,Ki=13nM
4b5d,7.89,Ki=12.8nM
4bzo,7.89,IC50=0.013uM
4djs,7.89,Kd=13nM
4dzw,7.89,IC50=13nM
4eg4,7.89,IC50=13nM
4ehr,7.89,IC50=13nM
4g8m,7.89,Kd=12.8nM
4gts,7.89,IC50=12.8nM
4igt,7.89,Kd=12.8nM
4j1k,7.89,IC50=13nM
4kb8,7.89,IC50=12.9nM
4m8e,7.89,Kd=13nM
4mz4,7.89,IC50=0.013uM
4ruy,7.89,Ki=12.8nM
4rx9,7.89,IC50=13nM
4u93,7.89,IC50=13nM
4y85,7.89,IC50=13nM
4yp8,7.89,IC50=13nM
4ytc,7.89,Ki=0.013uM
4yti,7.89,Ki=13nM
4zz1,7.89,Ki=13nM
5d7r,7.89,IC50=0.013uM
2e9v,7.9,Ki=12.59nM
2yiq,7.9,IC50=12.67nM
3cd5,7.9,Kd=12.7nM
3hha,7.9,IC50=12.6nM
3k22,7.9,IC50=12.59nM
4gk7,7.9,Ki=12.5nM
4uiu,7.9,IC50=12.6nM
1ajx,7.91,Ki=12.2nM
2h5j,7.91,Ki=12.4nM
2q1l,7.91,IC50=12.4nM
2qk8,7.91,IC50=12.2nM
3sv8,7.91,Ki=12.2nM
4a50,7.91,Ki=12.2nM
1avp,7.92,Kd=12nM
1b6j,7.92,Ki=12nM
1c4y,7.92,Ki=12nM
1f90,7.92,Kd=11.9nM
1k1p,7.92,IC50=11.9nM
1p2a,7.92,IC50=12nM
1q6s,7.92,IC50=12nM
1tfq,7.92,Kd=0.012uM
1tg5,7.92,IC50=12nM
1tl7,7.92,Ki=12nM
1xbc,7.92,IC50=0.012uM
1zfk,7.92,Ki=12nM
2cem,7.92,Ki=12nM
2gbf,7.92,Ki=12nM
2hxl,7.92,IC50=12nM
2irz,7.92,IC50=12nM
2jjb,7.92,Ki=12nM
2ovv,7.92,Ki=12nM
2pj2,7.92,IC50=12nM
2pj9,7.92,IC50=12nM
2q7o,7.92,Ki=12nM
2w1e,7.92,IC50=12nM
2x6d,7.92,IC50=12nM
2y0j,7.92,IC50=12nM
2yj2,7.92,IC50=0.012uM
3au6,7.92,Kd=12nM
3d7z,7.92,Ki=12nM
3e0p,7.92,Ki=0.012uM
3eft,7.92,Ki=12nM
3fi3,7.92,IC50=12nM
3fz1,7.92,IC50=0.012uM
3h9f,7.92,Kd=12nM
3hhm,7.92,IC50=11.9nM
3hv7,7.92,Kd=12nM
3ivi,7.92,IC50=12nM
3kc0,7.92,IC50=12nM
3o0u,7.92,IC50=12nM
3od0,7.92,Kd=12nM
3q92,7.92,IC50=12nM
3qpp,7.92,IC50=12nM
3rah,7.92,IC50=12nM
3sbi,7.92,Kd=12nM
3vtd,7.92,IC50=12nM
3wdc,7.92,Kd=12nM
3wv2,7.92,IC50=12nM
4a6c,7.92,Ki=12nM
4ael,7.92,IC50=12nM
4at4,7.92,IC50=0.012uM
4bcn,7.92,Ki=12nM
4bky,7.92,IC50=0.012uM
4cws,7.92,Ki=0.012uM
4g0c,7.92,Ki=12nM
4g68,7.92,Kd=12nM
4hbm,7.92,Kd=12.0nM
4hs8,7.92,Kd=12nM
4j1f,7.92,IC50=12nM
4j5p,7.92,Ki=12nM
4kmu,7.92,IC50=12nM
4mq1,7.92,IC50=0.012uM
4mzs,7.92,IC50=0.012uM
4phu,7.92,Kd=12.04nM
4qga,7.92,IC50=12nM
4quo,7.92,Ki=12nM
4rux,7.92,Ki=12nM
4wt6,7.92,IC50=0.012uM
4xv3,7.92,IC50=0.012uM
4yjn,7.92,IC50=12nM
5aix,7.92,Kd=0.012uM
5e1s,7.92,Kd=12nM
4g34,7.93,IC50=11.7nM
1mem,7.94,Ki=11.5nM
2ewa,7.94,Kd=11.5nM
3dcs,7.94,Ki=11.4nM
3hqy,7.94,IC50=11.5nM
4gtp,7.94,IC50=11.4nM
1leg,7.95,Kd=11.1nM
1sqb,7.95,IC50=11.2nM
2itp,7.95,Kd=11.3nM
3bh8,7.95,IC50=11.2nM
3fmq,7.95,IC50=11.1nM
3t85,7.95,Ki=11.3nM
3u7n,7.95,Ki=11.2nM
4b7j,7.95,Ki=11.1nM
4bxk,7.95,Ki=11.21nM
4knj,7.95,Kd=11.1nM
1epo,7.96,Ki=11nM
1hvh,7.96,Ki=11nM
1idb,7.96,IC50=11nM
1nzq,7.96,IC50=11nM
1o3e,7.96,Ki=0.011uM
1o3g,7.96,Ki=0.011uM
1qxl,7.96,Ki=11nM
1xom,7.96,IC50=0.011uM
2e1w,7.96,Ki=11nM
2e2b,7.96,IC50=11nM
2eh8,7.96,Kd=11nM
2j6m,7.96,Kd=10.9nM
2oah,7.96,IC50=11nM
2oc9,7.96,Ki=11nM
2p3a,7.96,Ki=11nM
2p83,7.96,IC50=11nM
2q15,7.96,Ki=11nM
2x8z,7.96,Ki=11nM
2zva,7.96,IC50=11nM
3a5y,7.96,Kd=11nM
3bgq,7.96,Ki=11nM
3e3b,7.96,IC50=11nM
3ekw,7.96,Kd=10.9nM
3fzr,7.96,IC50=11nM
3g5d,7.96,Kd=11nM
3iok,7.96,Ki=0.011uM
3iww,7.96,Ki=11nM
3mhc,7.96,Ki=11nM
3ndm,7.96,IC50=11nM
3nnx,7.96,IC50=11nM
3nwb,7.96,IC50=11nM
3pp0,7.96,IC50=11nM
3qs1,7.96,Ki=11.0nM
3r4p,7.96,Ki=11nM
3rvi,7.96,IC50=11nM
3sni,7.96,IC50=11nM
3uh4,7.96,IC50=0.011uM
3v5j,7.96,IC50=10.9nM
3vw9,7.96,IC50=0.011uM
3w5e,7.96,IC50=11nM
4ap7,7.96,Ki=0.011uM
4bcj,7.96,Ki=11nM
4g2j,7.96,IC50=11nM
4j2t,7.96,Kd=11nM
4jbs,7.96,IC50=11nM
4k3n,7.96,Ki=11nM
4m4q,7.96,IC50=11nM
4m5u,7.96,IC50=11nM
4ncg,7.96,IC50=0.011uM
4ngp,7.96,Ki=10.97nM
4pp7,7.96,IC50=11nM
4r59,7.96,Ki=11nM
4r7m,7.96,Kd=11nM
4uvx,7.96,IC50=11nM
4y46,7.96,IC50=11nM
4y79,7.96,Ki=11nM
4y8c,7.96,IC50=11nM
4yt6,7.96,Ki=11nM
5ajx,7.96,IC50=0.011uM
5ea7,7.96,Kd=11nM
3amv,7.97,Ki=10.8nM
3fmr,7.97,IC50=10.6nM
3ldw,7.97,Ki=10.7nM
4x1f,7.97,Kd=10.8nM
5ap1,7.97,IC50=10.8nM
5ap5,7.97,IC50=10.8nM
4gto,7.98,IC50=10.5nM
1mf4,7.99,Ki=10.2nM
3oyq,7.99,Ki=10.3nM
1a4k,8.0,Kd=0.01uM
1apw,8.0,Ki=10nM
1ayv,8.0,Ki=10nM
1b57,8.0,Ki=0.01uM
1b5g,8.0,Ki=10nM
1bzs,8.0,IC50=10nM
1dqn,8.0,Ki=10nM
1fkg,8.0,Ki=10nM
1fpp,8.0,Kd=10nM
1fvv,8.0,IC50=10nM
1g2a,8.0,IC50=10nM
1gaf,8.0,Kd=10nM
1gai,8.0,Ki=10nM
1i5d,8.0,Kd<0.010uM
1nc6,8.0,Ki=10nM
1o46,8.0,IC50=10nM
1qin,8.0,Ki=10nM
1r0p,8.0,Kd=10nM
1rmz,8.0,Kd=10nM
1sm2,8.0,Ki<10nM
1tkb,8.0,Ki=10nM
1tps,8.0,IC50=10nM
1utr,8.0,Kd=10nM
1vyg,8.0,Kd=10nM
1xws,8.0,Kd=10nM
1ycm,8.0,Kd=10nM
1yhs,8.0,IC50=0.01uM
1ym2,8.0,IC50=0.01uM
1ypg,8.0,Ki=10nM
1yw8,8.0,IC50=10nM
1z3j,8.0,Kd=10nM
2ama,8.0,IC50=10nM
2e94,8.0,Ki=0.01uM
2hah,8.0,Ki=10nM
2p4i,8.0,IC50=10nM
2r3j,8.0,IC50=10nM
2r3m,8.0,IC50=10nM
2r6f,8.0,Kd=10nM
2vnt,8.0,Ki=9.9nM
2vwn,8.0,Ki=10nM
2w1c,8.0,IC50=0.01uM
2wev,8.0,IC50=0.01uM
2xbw,8.0,Ki=10nM
2ymt,8.0,Kd~10nM
2z8e,8.0,Kd=0.01uM
3b92,8.0,Ki=10nM
3c9e,8.0,Kd=10nM
3co9,8.0,IC50=10nM
3cvk,8.0,IC50=0.01uM
3cwj,8.0,IC50=10nM
3cyx,8.0,Ki=10nM
3d5m,8.0,IC50=0.01uM
3dba,8.0,Kd=10nM
3dej,8.0,IC50=10nM
3fc1,8.0,IC50=10nM
3gkz,8.0,Kd=10nM
3gur,8.0,IC50=0.01uM
3gvu,8.0,Kd=10nM
3gzn,8.0,IC50=10nM
3hs4,8.0,Ki=10nM
3hx3,8.0,Kd=10nM
3k97,8.0,Ki=10nM
3l0e,8.0,IC50=10nM
3l8x,8.0,Kd=10nM
3nga,8.0,Kd=10nM
3oy0,8.0,Ki=10.1nM
3qd3,8.0,IC50=10nM
3rey,8.0,Kd=10nM
3rwd,8.0,IC50=9.9nM
3s7m,8.0,IC50=0.01uM
3sio,8.0,Ki=10nM
3t0x,8.0,Kd=10nM
3zcl,8.0,Ki=10.1nM
4a6l,8.0,Ki=10nM
4ap0,8.0,Kd<10nM
4axa,8.0,IC50<10nM
4d08,8.0,IC50=10nM
4dr9,8.0,IC50=10nM
4ehz,8.0,Ki=10nM
4f7l,8.0,Kd=0.01uM
4g8l,8.0,Kd=10nM
4hcu,8.0,IC50=0.01uM
4ht0,8.0,Kd=10nM
4jjf,8.0,Ki=10nM
4jyu,8.0,Ki=10nM
4kfp,8.0,IC50=10nM
4knm,8.0,Kd=10.0nM
4l4m,8.0,IC50=0.01uM
4lp0,8.0,IC50<0.01uM
4lpb,8.0,IC50<0.01uM
4lv2,8.0,Ki=0.01uM
4mb9,8.0,IC50=10nM
4mo8,8.0,Ki=10.1nM
4o2c,8.0,Kd=10nM
4o2e,8.0,IC50=10nM
4o9v,8.0,Ki=10nM
4poh,8.0,Kd=10nM
4pzh,8.0,Kd<10nM
4qg7,8.0,IC50=10nM
4twt,8.0,Kd=10nM
4u45,8.0,IC50=0.01uM
4x6i,8.0,Ki=10nM
4yff,8.0,IC50<10nM
4ykn,8.0,IC50=10nM
4zjj,8.0,Kd=9.9nM
4zx0,8.0,Ki=10nM
5bml,8.0,Ki=10nM
8abp,8.0,Kd=0.010uM
9abp,8.0,Kd=0.01uM
1m5b,8.01,IC50=9.7nM
1v7a,8.01,Ki=9.8nM
2cc7,8.01,Kd=9.88nM
2pj1,8.01,IC50=9.7nM
3vje,8.01,Kd=9.7nM
4muw,8.01,IC50=9.7nM
1b7h,8.02,Kd=0.0095uM
2zdt,8.02,IC50=9.6nM
3iit,8.02,IC50=9.5nM
3n4c,8.02,IC50=9.5nM
3v49,8.02,IC50=9.6nM
4n00,8.02,IC50=9.5nM
4uye,8.02,Kd=9.54nM
4yes,8.02,Ki=9.6nM
1z6j,8.03,IC50=0.0094uM
4elf,8.03,Ki=9.4nM
4x5y,8.03,Kd=9.3nM
1mpa,8.04,Kd=9.1nM
1rhj,8.04,IC50=9.17nM
2mpa,8.04,Kd=9.1nM
3at3,8.04,IC50=9.2nM
3vzv,8.04,IC50=9.2nM
4gtm,8.04,IC50=9.2nM
4m2u,8.04,Ki=9.1nM
4q1f,8.04,Ki=9.2nM
4zz2,8.04,Ki=9.1nM
1hih,8.05,Ki=9nM
1hrn,8.05,IC50=9nM
1jjt,8.05,IC50=9nM
1ke7,8.05,IC50=8.9nM
1lqd,8.05,Ki=9nM
1o42,8.05,IC50=9nM
1ong,8.05,IC50=9nM
1qj1,8.05,IC50=9nM
1sjh,8.05,Kd=9nM
1vyf,8.05,Kd=9nM
1x7r,8.05,IC50=9nM
2b9a,8.05,Kd=9nM
2bqv,8.05,Ki=9nM
2i0h,8.05,IC50=9nM
2iw9,8.05,IC50=8.9nM
2jjk,8.05,IC50=9nM
2jkh,8.05,Ki=9nM
2no3,8.05,IC50=9nM
2wxh,8.05,IC50=9nM
2xc4,8.05,Ki=9nM
2xcg,8.05,Kd=9nM
2xm9,8.05,IC50=0.009uM
2xxt,8.05,Kd=9.0nM
2y80,8.05,Ki=9nM
2z60,8.05,IC50=9nM
2zv9,8.05,IC50=9nM
3cd8,8.05,IC50=9nM
3emg,8.05,Ki=9nM
3ens,8.05,IC50=8.9nM
3eqy,8.05,Kd=8.9nM
3ml2,8.05,Ki=9nM
3mwu,8.05,IC50=9nM
3nnw,8.05,IC50=9nM
3ot8,8.05,IC50=9nM
3oys,8.05,Ki=9nM
3qkl,8.05,IC50=9nM
3txo,8.05,IC50=9nM
3u8l,8.05,Ki=8.9nM
4a4o,8.05,IC50=0.009uM
4aa4,8.05,IC50=9.0nM
4b8y,8.05,Kd=9nM
4bcc,8.05,IC50=9nM
4byi,8.05,IC50=9nM
4hdb,8.05,Ki=8.9nM
4mk9,8.05,IC50=9nM
4o4g,8.05,Ki=9nM
4ogv,8.05,IC50=9.0nM
4oth,8.05,IC50=9nM
4q19,8.05,Ki=8.9nM
4qhp,8.05,Ki=9.0nM
4rfd,8.05,Ki=8.9nM
4urm,8.05,IC50=9nM
4wmc,8.05,Kd=9nM
4x7l,8.05,IC50=9nM
4y8d,8.05,Kd=0.0089uM
4yqh,8.05,IC50=0.009uM
4zhm,8.05,Ki=0.009uM
5abg,8.05,Ki=9nM
5ece,8.05,IC50=9nM
1iwq,8.06,Kd=8.8nM
1zgb,8.06,IC50=8.8nM
2qu5,8.06,Ki=8.7nM
3dbu,8.06,Ki=8.8nM
3hiw,8.06,Ki=8.7nM
3ovz,8.06,IC50=8.7nM
4avt,8.06,Kd=0.0088uM
4fab,8.06,Kd=8.8nM
4i5m,8.06,IC50=8.8nM
5ea5,8.06,Kd=8.7nM
1dva,8.07,Kd=8.5nM
1gni,8.07,Kd=8.5nM
1jtq,8.07,Ki=8.5nM
1wxz,8.07,IC50=8.6nM
2jbo,8.07,IC50=8.5nM
2jbp,8.07,IC50=8.5nM
3ant,8.07,IC50=8.5nM
3jwr,8.07,Ki=8.5nM
3l9n,8.07,IC50=8.6nM
3oxz,8.07,IC50=8.6nM
3r2y,8.07,IC50=8.5nM
3v8w,8.07,IC50=8.6nM
3vbd,8.07,Ki=8.6nM
4exg,8.07,IC50=8.5nM
4um9,8.07,Kd=8.5nM
1siv,8.08,Ki=8.4nM
2q70,8.08,Ki=8.3nM
3fmz,8.08,Ki=8.3nM
3ifl,8.08,Kd=8.4nM
3k39,8.08,Ki=8.3nM
3lil,8.08,Ki=8.3nM
3wd9,8.08,IC50=8.3nM
4edz,8.08,IC50=8.26nM
4hzz,8.08,IC50=8.31nM
4mf0,8.08,Ki=8.4nM
4qlu,8.08,IC50=8.3nM
4wxi,8.08,Ki=8.4nM
6fiv,8.08,Ki=8.3nM
1acj,8.09,IC50=8.2nM
1lhf,8.09,Ki=8.1nM
2pj0,8.09,IC50=8.1nM
2rkg,8.09,Ki=8.2nM
2yfx,8.09,Ki=8.2nM
3hub,8.09,Kd=8.2nM
3kqe,8.09,Ki=8.1nM
3oe6,8.09,Ki=8.2nM
3s2a,8.09,IC50=8.1nM
3tu7,8.09,Ki=8.17nM
4elh,8.09,Ki=8.2nM
4his,8.09,Kd=8.1nM
4kzc,8.09,IC50=8.2nM
4loy,8.09,Ki=8.1nM
5cf6,8.09,IC50=8.2nM
1dbk,8.1,IC50=8nM
1erb,8.1,Kd=8nM
1fzj,8.1,Kd=8nM
1ghy,8.1,Ki=0.008uM
1l6m,8.1,Kd=7.9nM
1ody,8.1,Ki=8nM
1p4r,8.1,Ki=8nM
1pq6,8.1,IC50=7.94nM
1qj7,8.1,IC50=8nM
1rhr,8.1,IC50=7.95nM
1rt1,8.1,IC50=8nM
1stc,8.1,Ki=8nM
1uk0,8.1,IC50=8nM
1xud,8.1,IC50=8nM
1ype,8.1,Ki=8nM
1zxc,8.1,IC50=8nM
2a5u,8.1,IC50=0.008uM
2b52,8.1,IC50=8nM
2cf8,8.1,Ki=0.008uM
2e9u,8.1,Ki=7.94nM
2hiw,8.1,IC50=8nM
2iog,8.1,IC50=8nM
2pvj,8.1,Ki=8nM
2qk5,8.1,IC50=8nM
2ql5,8.1,Ki=8nM
2qp8,8.1,IC50=8nM
2qzl,8.1,IC50=8nM
2rcw,8.1,Ki=8nM
2vvu,8.1,Ki=8nM
2wpa,8.1,IC50=8nM
3at4,8.1,IC50=8.0nM
3caj,8.1,Ki=8nM
3ccc,8.1,IC50=8nM
